statuses_count,followers_count,friends_count,favourites_count,listed_count,is_default_profile,is_profile_use_background_image,is_verified,user_age,tweets_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,length_of_name,num_digits_in_name,description_length
6058,2599,758,448,129,1,1,1,4451,1.361042462,0.583913727,0.170298809,0.100651539,0.028982251,3.428759894,9,0,12,0,160
25333,24786,387,15645,456,0,1,1,3445,7.353555878,7.194775036,0.11233672,4.541364296,0.132365747,64.04651163,10,0,11,0,157
6653,2645,2002,2208,96,0,1,1,4169,1.595826337,0.634444711,0.480211082,0.529623411,0.023027105,1.321178821,10,0,15,0,146
223379,1107407,118,136,1250,0,1,1,3016,74.06465517,367.1773873,0.039124668,0.045092838,0.414456233,9384.805085,15,0,15,0,62
14035,5880,1087,255,169,0,1,0,4412,3.181097008,1.332728921,0.246373527,0.057796917,0.038304624,5.409383625,10,0,22,0,93
2596,1671,683,287,57,0,1,1,4412,0.588395286,0.378739801,0.154805077,0.065049864,0.012919311,2.446559297,12,0,19,0,96
25857,26784,893,11439,708,1,1,1,3024,8.550595238,8.857142857,0.295304233,3.782738095,0.234126984,29.99328108,10,0,18,0,135
2395,3943,391,309,156,0,1,0,3066,0.781148076,1.286040444,0.127527723,0.100782779,0.050880626,10.08439898,12,0,11,0,91
9246,970,543,8749,28,0,1,1,4367,2.117242959,0.222120449,0.124341653,2.003434852,0.006411724,1.786372007,11,0,12,0,61
18287,6064,696,5800,154,1,1,1,3770,4.85066313,1.608488064,0.184615385,1.538461538,0.040848806,8.712643678,13,1,13,0,108
29679,96906,1302,22194,147,0,1,1,4024,7.375497018,24.08200795,0.323558648,5.515407555,0.036530815,74.42857143,11,0,12,0,97
6946,4403,586,8432,138,1,1,1,2020,3.438613861,2.17970297,0.29009901,4.174257426,0.068316832,7.513651877,10,0,10,0,56
8111,2481,1590,21754,112,0,0,1,4530,1.790507726,0.547682119,0.350993377,4.802207506,0.024724062,1.560377358,12,0,12,0,147
26135,4775,291,19515,204,0,1,1,4108,6.361976631,1.162366115,0.07083739,4.750486855,0.049659202,16.40893471,10,0,15,0,35
76690,13173,1198,8791,388,1,1,1,4444,17.2569757,2.964221422,0.269576958,1.978172817,0.087308731,10.99582638,4,0,9,0,160
56958,10083,409,5366,494,0,1,1,4552,12.51274165,2.215070299,0.089850615,1.178822496,0.108523726,24.65281174,15,0,16,0,46
16320,4578,1304,3945,181,0,1,1,3862,4.225789746,1.185396168,0.337648887,1.021491455,0.046866908,3.510736196,10,0,11,0,156
48113,25539,5149,26757,502,0,1,1,4459,10.79008746,5.727517381,1.154743216,6.000672797,0.112581296,4.959992232,15,0,19,0,157
12852,4535,1281,1089,170,0,1,1,4436,2.897204689,1.022317403,0.28877367,0.245491434,0.038322813,3.540202966,13,0,14,0,147
5172,1749,532,1207,81,0,1,1,4332,1.193905817,0.403739612,0.122807018,0.278624192,0.018698061,3.287593985,10,0,11,0,82
23156,23774,1007,11979,286,0,1,1,4462,5.189601076,5.328103989,0.22568355,2.684670551,0.064096818,23.60873883,8,0,9,0,160
9408,3591,378,15820,77,0,0,1,3408,2.76056338,1.053697183,0.110915493,4.642018779,0.022593897,9.5,8,0,16,0,160
11201,5825,591,6063,67,1,1,1,4538,2.468267959,1.283605112,0.130233583,1.336051124,0.014764213,9.856175973,12,0,12,0,77
95909,5433,2084,30245,204,0,1,1,4338,22.10903642,1.25242047,0.480405717,6.972106962,0.047026279,2.607005758,8,0,27,0,133
9342,5945,1779,7937,95,0,1,1,4401,2.122699387,1.350829357,0.404226312,1.803453761,0.021586003,3.341765037,14,0,15,0,160
62225,23068,290,10174,210,0,1,1,4323,14.39393939,5.336109183,0.067083044,2.353458247,0.048577377,79.54482759,15,0,11,0,151
15274,1768,661,6562,62,0,0,1,4398,3.472942246,0.40200091,0.150295589,1.492041837,0.014097317,2.67473525,15,0,12,0,158
2925,4312,725,982,123,0,0,1,3897,0.750577367,1.106492173,0.186040544,0.251988709,0.031562741,5.947586207,13,0,18,0,129
4779,1078,2320,1144,43,0,1,1,3350,1.426567164,0.321791045,0.692537313,0.341492537,0.012835821,0.464655172,14,0,13,0,56
6783,5141,2645,7079,167,1,1,1,3223,2.104560968,1.595097735,0.820663978,2.196400869,0.051815079,1.943667297,11,0,19,0,158
10240,9227,2273,2630,401,0,0,1,3493,2.931577441,2.641568852,0.650730031,0.75293444,0.114801031,4.059392873,8,0,9,0,74
614,1709,351,831,14,1,1,1,4307,0.142558625,0.396795914,0.08149524,0.192941723,0.003250522,4.868945869,15,2,12,0,108
25076,7443,1264,9211,320,0,1,1,4120,6.086407767,1.806553398,0.306796117,2.235679612,0.077669903,5.888449367,14,1,14,0,159
29064,8382,916,18636,135,0,0,1,4463,6.512211517,1.878108895,0.20524311,4.175666592,0.030248712,9.150655022,9,0,21,0,83
11510,48483,133,5400,1146,0,1,1,4380,2.627853881,11.06917808,0.030365297,1.232876712,0.261643836,364.5338346,12,0,13,0,159
10932,13680,3701,14825,370,0,1,1,3721,2.937919914,3.676431067,0.994625101,3.984144047,0.099435636,3.696298298,12,0,9,0,159
422358,77896,49408,900,157,0,1,1,3057,138.1609421,25.48119071,16.16225057,0.294406281,0.05135754,1.576586788,9,0,17,0,157
475,604,626,549,12,1,1,0,1050,0.452380952,0.575238095,0.596190476,0.522857143,0.011428571,0.96485623,7,1,17,0,84
33493,5459,828,10341,54,0,1,1,3297,10.15862906,1.655747649,0.251137398,3.136487716,0.016378526,6.592995169,9,1,14,0,84
6448,4499,1678,225,266,0,1,1,4365,1.47720504,1.03069874,0.384421535,0.051546392,0.06093929,2.681168057,9,0,13,0,153
18570,3763,1019,3618,76,0,1,1,4359,4.260151411,0.863271393,0.233769213,0.830006882,0.017435192,3.692836114,10,0,11,0,118
784,6053,217,9780,62,0,1,1,3715,0.211036339,1.629340511,0.058411844,2.632570659,0.016689098,27.89400922,10,0,5,0,0
42640,6192,577,24638,103,0,1,1,3913,10.89700997,1.582417582,0.147457194,6.296447738,0.026322515,10.73136915,9,0,6,0,71
12245,22958,478,6877,451,0,0,1,4257,2.876438807,5.392999765,0.112285647,1.615456895,0.105943152,48.0292887,10,0,10,0,5
233547,87775,3869,118010,6040,0,1,1,5149,45.35773937,17.04699942,0.75140804,22.9190134,1.173043309,22.68674076,7,0,13,0,158
8880,13226,1560,756,984,0,1,1,5135,1.729308666,2.575657254,0.303797468,0.147224927,0.191626095,8.478205128,10,0,11,0,42
30270,5939,1150,19589,82,0,1,1,4431,6.83141503,1.340329497,0.259535094,4.420898217,0.018505981,5.164347826,10,0,12,0,149
6131,6821,4884,2327,282,0,0,1,4191,1.462896683,1.627535194,1.165354331,0.555237414,0.067287044,1.396601147,9,0,5,0,159
6697,59470,182,13063,537,1,1,1,1830,3.659562842,32.49726776,0.099453552,7.138251366,0.293442623,326.7582418,13,1,13,0,113
176692,9568,501,99,334,0,0,1,4586,38.5285652,2.08634976,0.10924553,0.02158744,0.072830353,19.09780439,10,0,16,0,147
17928,9968,900,2545,311,1,1,1,4435,4.042390079,2.247576099,0.202931229,0.573844419,0.070124014,11.07555556,8,0,12,0,150
8341,2080,922,5423,30,0,1,1,4429,1.883269361,0.469631971,0.208173403,1.224429894,0.006773538,2.255965293,9,0,11,0,83
33368,9850,5489,25533,583,0,0,1,4904,6.804241436,2.008564437,1.119290375,5.206566069,0.118882545,1.794498087,7,0,8,0,21
54953,8382,1599,45834,325,0,0,1,4421,12.42999321,1.895951142,0.361682877,10.36733771,0.07351278,5.242026266,11,0,17,0,148
10052,14966,3100,7913,406,0,1,1,4169,2.411129767,3.589829695,0.743583593,1.898057088,0.097385464,4.827741935,14,0,16,0,150
22164,124997,1668,54460,1111,1,1,1,1372,16.15451895,91.10568513,1.21574344,39.69387755,0.809766764,74.9382494,11,0,11,0,160
24991,27893,2988,11578,669,0,0,1,4362,5.729252636,6.394543787,0.685006878,2.654287024,0.153370014,9.335006693,8,0,15,0,159
28674,2616,637,6314,136,0,1,1,2875,9.973565217,0.909913043,0.221565217,2.196173913,0.047304348,4.106750392,12,0,19,0,118
369,2689,1168,7388,157,1,1,1,4724,0.07811177,0.569220999,0.247248095,1.563928874,0.033234547,2.302226027,10,0,8,0,156
11551,14710,3531,9962,188,0,1,1,4317,2.675700718,3.407458883,0.817929117,2.307621033,0.043548761,4.165958652,11,0,13,0,88
7731,10080,2096,3381,238,0,1,1,4346,1.778877128,2.319374137,0.482282559,0.777956742,0.054763,4.809160305,11,0,5,0,151
7202,1545,440,1598,114,0,0,1,4358,1.652592933,0.354520422,0.100963745,0.366681964,0.026158788,3.511363636,9,0,10,0,160
5480,5955,180,330,218,0,0,1,4098,1.337237677,1.453147877,0.043923865,0.080527086,0.053196681,33.08333333,8,0,12,0,136
33898,67126,1433,38776,631,0,1,1,4166,8.136821892,16.11281805,0.343975036,9.307729237,0.151464234,46.84298674,8,0,12,0,59
1385,14948,1328,638,123,0,1,1,4161,0.33285268,3.592405672,0.31915405,0.153328527,0.029560202,11.2560241,14,0,10,0,102
15550,1803,1368,10944,55,0,1,1,4617,3.367987871,0.39051332,0.296296296,2.37037037,0.011912497,1.317982456,7,0,12,0,71
3144,21616,786,397,613,1,1,1,4000,0.786,5.404,0.1965,0.09925,0.15325,27.50127226,8,0,13,0,43
25704,19009,1668,11151,369,1,1,1,4649,5.528930953,4.088836309,0.358786836,2.39858034,0.079371908,11.39628297,7,0,13,0,157
4552,7857,659,2426,193,0,0,0,2992,1.521390374,2.626002674,0.220254011,0.810828877,0.064505348,11.92261002,7,0,20,0,55
111102,10952,2762,61382,113,0,1,1,4009,27.71314542,2.73185333,0.688949863,15.31105014,0.02818658,3.965242578,7,1,15,0,140
21429,60889,572,2827,453,0,1,1,4347,4.929606625,14.00713135,0.131585001,0.650333563,0.1042098,106.4493007,5,0,18,0,105
181209,766651,1531,453,3738,0,1,1,4550,39.82615385,168.4947253,0.336483516,0.09956044,0.821538462,500.7517962,11,1,13,1,102
5295,63972,2068,189,1714,0,1,1,4015,1.318804483,15.93325031,0.515068493,0.047073474,0.426899128,30.93423598,9,0,14,0,85
5244,5833,1220,710,207,0,1,1,4402,1.191276692,1.325079509,0.277146751,0.161290323,0.04702408,4.781147541,12,0,14,0,123
71262,13402,1257,15375,481,0,1,1,5006,14.23531762,2.677187375,0.251098682,3.071314423,0.096084698,10.6618934,10,0,11,0,78
13796,44745,1017,5301,484,1,1,1,3904,3.533811475,11.46132172,0.260502049,1.357838115,0.12397541,43.99705015,12,2,11,0,65
3394,1625,1341,4017,66,0,1,1,4409,0.769789068,0.3685643,0.304150601,0.91109095,0.014969381,1.211782252,8,0,12,0,132
17008,5112,995,903,166,1,1,1,3854,4.413077322,1.326414115,0.258173326,0.234302024,0.043072133,5.137688442,12,2,10,0,129
4397,76061,0,0,1104,0,1,1,3549,1.238940547,21.43167089,0,0,0.311073542,257472,11,0,10,0,73
6146,6656,367,1570,314,0,1,1,4339,1.416455404,1.533994008,0.084581701,0.361834524,0.072366905,18.13623978,10,0,11,0,153
5993,36966,2215,2130,749,0,1,1,4725,1.268359788,7.823492063,0.468783069,0.450793651,0.158518519,16.68893905,8,0,15,0,149
12324,4978,575,470,173,1,1,1,3984,3.093373494,1.249497992,0.144327309,0.117971888,0.043423695,8.657391304,7,0,14,0,52
4592,2085559,69,9056,4088,1,1,1,2064,2.224806202,1010.445252,0.033430233,4.387596899,1.980620155,30225.49275,15,0,15,0,8
8588,3649,455,2407,76,0,1,1,3850,2.230649351,0.947792208,0.118181818,0.625194805,0.01974026,8.01978022,7,0,11,0,126
14669,18140,2408,10952,379,0,1,1,2492,5.886436597,7.27929374,0.966292135,4.394863563,0.152086677,7.533222591,9,0,15,0,143
80101,1881,957,2442,56,0,1,1,4354,18.39710611,0.432016537,0.219797887,0.560863574,0.012861736,1.965517241,12,0,10,0,139
19275,5724,3467,3242,247,0,1,1,4452,4.329514825,1.285714286,0.778751123,0.72821204,0.055480683,1.650995097,12,0,18,0,158
59515,18387,1987,57740,258,0,1,1,4462,13.33818915,4.120797848,0.445316002,12.94038548,0.057821605,9.253648717,8,1,14,0,149
35459,8572,2930,7519,156,0,1,1,4341,8.168394379,1.974660217,0.674959687,1.73208938,0.03593642,2.92559727,11,1,11,0,156
112068,11824,954,1505,227,0,0,1,4377,25.60383825,2.701393649,0.217957505,0.343842815,0.051862006,12.39412998,13,0,15,0,119
22998,13374,3184,2569,437,0,1,0,4432,5.189079422,3.017599278,0.718411552,0.579648014,0.098601083,4.200376884,11,0,11,0,17
24123,562851,1393,124,599,1,1,1,3235,7.456877898,173.9879444,0.430602782,0.038330757,0.185162287,404.0567121,9,4,12,0,159
1579,1642,268,3188,17,0,0,1,3601,0.438489309,0.455984449,0.074423771,0.885309636,0.004720911,6.126865672,11,0,11,0,149
7872,5983,462,1857,167,1,1,1,4281,1.838822705,1.397570661,0.107918711,0.433777155,0.039009577,12.95021645,10,0,11,0,140
13504,3999,733,7607,90,1,1,1,4562,2.960105217,0.876589215,0.160675142,1.667470408,0.019728189,5.455661664,12,0,13,0,122
22688,17471,4053,11028,389,0,0,1,4310,5.264037123,4.053596288,0.94037123,2.558700696,0.09025522,4.310634098,12,0,13,0,142
26739,10075,3611,21417,169,0,0,1,3983,6.713281446,2.529500377,0.906603063,5.377102686,0.042430329,2.790085849,15,0,10,0,101
4424,2119,784,2427,94,0,1,1,3065,1.443393148,0.691353997,0.255791191,0.791843393,0.030668842,2.702806122,11,0,13,0,101
24012,13614,4143,12165,315,1,1,1,4239,5.664543524,3.211606511,0.977353149,2.869780609,0.074309979,3.28602462,13,0,14,0,146
16405,19507,2148,12927,50,0,1,1,4243,3.866368136,4.597454631,0.506245581,3.046665095,0.011784115,9.081471136,10,0,19,0,14
41184,81822,8902,52312,1003,1,1,1,4415,9.32819932,18.53272933,2.016308041,11.84869762,0.227180068,9.191417659,14,0,14,0,72
3650,2861,1246,6621,80,0,1,1,4369,0.835431449,0.654840925,0.285191119,1.51544976,0.018310826,2.296147673,10,0,14,0,57
39958,10650,610,26436,207,0,0,1,4231,9.444103049,2.517135429,0.144173954,6.248168282,0.048924604,17.45901639,11,0,20,0,109
94102,572171,1172,18711,7137,0,0,1,3776,24.92108051,151.5283369,0.310381356,4.955243644,1.890095339,488.2005119,6,1,11,0,64
31699,199777,8512,53705,948,0,0,1,4157,7.625451046,48.0579745,2.047630503,12.91917248,0.228049074,23.47004229,11,0,9,0,60
32215,474759,533,1869,2699,0,1,1,4685,6.87620064,101.3359658,0.113767343,0.398932764,0.576093917,890.7298311,6,0,7,0,146
25258,4817,1836,43010,132,0,1,1,3430,7.363848397,1.404373178,0.535276968,12.5393586,0.038483965,2.623638344,14,0,17,0,132
3027,14917,535,1261,110,1,1,1,1275,2.374117647,11.69960784,0.419607843,0.989019608,0.08627451,27.88224299,12,0,16,0,59
1187,3898,309,710,37,0,0,1,1839,0.645459489,2.119630234,0.168026101,0.386079391,0.02011963,12.61488673,12,0,13,0,95
24032,370274,219,7365,5215,1,1,1,4411,5.448197688,83.94332351,0.049648606,1.669689413,1.182271594,1690.748858,13,0,14,0,159
18530,2453,3379,35800,117,0,0,1,4582,4.044085552,0.53535574,0.737450895,7.813182017,0.025534701,0.725954424,7,4,20,0,156
47359,14814,1976,80891,502,1,1,1,4217,11.23049561,3.51292388,0.468579559,19.18211999,0.119041973,7.496963563,12,0,14,0,157
7913,4966,1979,1499,118,1,1,1,2669,2.964780817,1.860621956,0.741476208,0.561633571,0.044211315,2.509348156,10,0,10,0,134
15350,18214,2844,6817,332,0,1,1,4327,3.547492489,4.209382944,0.657268315,1.575456436,0.076727525,6.404360056,10,0,11,0,153
1191,2131,1970,5042,34,0,0,1,4166,0.285885742,0.511521843,0.47287566,1.210273644,0.008161306,1.081725888,11,0,14,0,107
4475,5608,2886,378,250,0,1,1,4616,0.969454073,1.214904679,0.625216638,0.081889081,0.054159445,1.943173943,14,0,15,0,133
6746,5630,1905,864,252,0,1,1,3733,1.807125636,1.508170372,0.510313421,0.231449237,0.067506027,2.955380577,10,0,10,0,82
78550,15019,5215,12517,540,0,1,1,4428,17.73938573,3.391824752,1.177732611,2.826784101,0.12195122,2.879961649,9,1,9,0,128
20044,140887,3052,21308,2963,0,1,1,4409,4.546155591,31.95441143,0.692220458,4.832841914,0.672034475,46.16218873,10,0,11,0,124
6579,2171,600,1889,131,0,0,1,3831,1.717306186,0.56669277,0.156617071,0.493082746,0.034194727,3.618333333,14,0,14,0,159
5758,4012,1462,1895,140,0,0,1,2744,2.098396501,1.462099125,0.532798834,0.690597668,0.051020408,2.744186047,11,0,12,0,145
27813,5425,2997,9123,147,1,1,1,3002,9.264823451,1.807128581,0.998334444,3.038974017,0.048967355,1.810143477,12,0,8,0,78
12449,161520,2052,28345,1838,1,1,1,4395,2.832536974,36.75085324,0.466894198,6.449374289,0.418202503,78.71345029,12,0,13,0,71
38819,82608,824,2891,3192,1,1,1,4368,8.8871337,18.91208791,0.188644689,0.661858974,0.730769231,100.2524272,12,0,12,0,151
11587,7818,791,4755,49,0,1,1,4383,2.643623089,1.783709788,0.180469998,1.084873374,0.011179557,9.88369153,8,0,8,0,28
83727,13545,2898,132326,555,1,1,1,3858,21.70217729,3.51088647,0.751166407,34.29911871,0.143856921,4.673913043,11,0,12,0,147
79250,370364,1788,43211,576,0,1,1,2748,28.83915575,134.775837,0.650655022,15.72452693,0.209606987,207.1387025,10,0,42,0,157
50264,2942,817,15260,75,0,1,1,4406,11.40807989,0.667725828,0.185428961,3.46345892,0.017022242,3.600979192,8,0,9,0,133
13950,11555,807,1164,317,0,1,1,4446,3.137651822,2.598965362,0.181511471,0.261808367,0.071300045,14.31846344,10,0,27,0,159
1816,597,1072,2450,5,0,0,1,2679,0.677864875,0.222844345,0.400149309,0.914520343,0.001866368,0.556902985,14,0,14,0,89
3881,2367,386,58919,40,1,1,1,2079,1.866762867,1.138528139,0.185666186,28.34006734,0.019240019,6.132124352,12,1,18,0,64
83676,50379,6620,71455,1951,0,0,1,4394,19.04324078,11.46540737,1.506599909,16.26194811,0.444014565,7.610120846,7,0,11,0,160
37583,8682,1728,80597,145,0,0,1,2869,13.0996863,3.026141513,0.602300453,28.09236668,0.050540258,5.024305556,9,0,14,0,142
16175,4475,1082,3702,89,1,1,1,2911,5.55650979,1.537272415,0.371693576,1.271727929,0.030573686,4.135859519,12,0,13,0,121
4531,11212,2360,2378,142,0,0,1,3477,1.303134886,3.224618924,0.678746045,0.683922922,0.040839804,4.750847458,10,0,10,0,143
130530,72575,1321,806,2001,0,1,1,4581,28.49377865,15.84261078,0.288364986,0.175944117,0.436804191,54.93943982,8,0,8,0,121
38770,221616,797,137543,2702,0,1,1,3241,11.9623573,68.3788954,0.245911756,42.43844492,0.833693305,278.0627353,13,0,13,0,21
30075,2591,448,25523,127,0,0,1,4884,6.157862408,0.530507781,0.091728092,5.225839476,0.026003276,5.783482143,15,0,13,0,99
9580,3298,791,174,74,0,1,1,4325,2.215028902,0.762543353,0.182890173,0.040231214,0.017109827,4.169405815,13,0,14,0,24
16202,5970,1229,1604,437,0,1,1,4325,3.746127168,1.380346821,0.28416185,0.370867052,0.101040462,4.857607811,12,0,10,0,160
2737,14335,262,392,108,0,1,1,4102,0.667235495,3.494636763,0.063871282,0.09556314,0.02632862,54.71374046,7,0,16,0,156
494323,2444980,301,540,2300,0,1,1,4309,114.7187282,567.4123927,0.069853794,0.1253191,0.533766535,8122.857143,10,2,10,2,137
9559,13960,4632,11091,231,0,1,1,4377,2.183915924,3.189399132,1.058259082,2.533927347,0.052775874,3.013816926,12,0,35,2,159
92453,31733,1538,9919,644,1,1,1,4323,21.38630581,7.340504279,0.355771455,2.294471432,0.148970622,20.63263979,15,0,18,0,150
33448,550182,4384,536,3715,0,0,1,4548,7.354441513,120.9722955,0.963940193,0.117854002,0.816842568,125.497719,7,0,20,0,134
69,2627,1936,11150,131,0,0,1,4451,0.015502134,0.590204448,0.434958436,2.505055044,0.029431588,1.356921488,11,0,16,0,137
274851,29626,1230,52630,1607,0,1,1,4610,59.62060738,6.426464208,0.26681128,11.4164859,0.348590022,24.08617886,12,0,13,0,9
8028,20921,3138,1717,711,0,0,1,4425,1.814237288,4.727909605,0.709152542,0.388022599,0.160677966,6.666985341,13,0,18,0,160
6313,23681,664,34864,161,0,1,1,4475,1.410726257,5.291843575,0.148379888,7.790837989,0.035977654,35.66415663,13,0,14,0,153
4655,2895,899,945,115,0,1,1,3017,1.542923434,0.959562479,0.297978124,0.313225058,0.038117335,3.220244716,10,0,13,0,103
8819,2653,1771,9972,107,0,1,1,4416,1.997056159,0.600769928,0.401041667,2.258152174,0.024230072,1.498023715,13,0,20,0,145
308,10722,1236,3707,371,0,0,1,4450,0.069213483,2.409438202,0.277752809,0.833033708,0.083370787,8.674757282,4,0,13,0,127
129845,1493644,9886,7741,8757,0,1,1,4411,29.43663568,338.6180005,2.241215144,1.754930855,1.985264112,151.0867894,14,0,15,0,141
12998,5791,1019,5909,188,1,1,1,3638,3.572842221,1.591808686,0.280098955,1.62424409,0.051676745,5.683022571,14,1,14,0,117
33138,81881,3411,17813,2006,0,1,1,4382,7.562300319,18.68575993,0.778411684,4.065038795,0.457781835,24.00498388,9,0,10,0,142
6975,6125,3569,4027,133,0,1,1,4167,1.673866091,1.469882409,0.856491481,0.966402688,0.031917447,1.716166994,14,0,14,0,19
13391,27967,9003,1125,1278,0,1,1,4172,3.209731544,6.703499521,2.157957814,0.269654842,0.3063279,3.106408975,12,0,14,0,152
42198,61703,941,2225,2171,0,1,1,4278,9.863955119,14.42332866,0.219962599,0.520102852,0.507480131,65.5717322,13,0,14,0,76
31639,17535,1817,14649,624,0,1,1,5121,6.178285491,3.424135911,0.354813513,2.860574107,0.121851201,9.65052284,13,0,19,0,59
244789,297270,1629,5822,3914,0,1,1,4698,52.10493827,63.27586207,0.346743295,1.239250745,0.833120477,182.4861878,13,0,13,0,135
10128,810029,4184,15146,5610,0,1,1,3552,2.851351351,228.048705,1.177927928,4.264076577,1.579391892,193.6015774,11,0,12,0,160
255174,17724,1887,59545,486,0,1,1,4409,57.87570878,4.019959174,0.427988206,13.50533001,0.110229077,9.392686804,15,0,19,0,157
10830,21785,3631,144170,403,0,1,1,4488,2.413101604,4.854055258,0.809046346,32.12344029,0.089795009,5.999724594,5,0,4,0,156
4338,960,1769,4939,28,0,1,1,2793,1.553168636,0.343716434,0.633369137,1.768349445,0.010025063,0.54267948,11,0,12,0,160
18708,13180,912,30724,202,0,0,1,2763,6.770901194,4.770177343,0.330076004,11.11979732,0.07310894,14.45175439,10,0,16,0,131
10578,9686,2422,11857,136,0,0,1,4247,2.490699317,2.280668707,0.570284907,2.791853073,0.032022604,3.999174236,15,0,12,0,101
10375,5485,1975,5043,225,0,1,1,3675,2.823129252,1.492517007,0.537414966,1.372244898,0.06122449,2.77721519,8,0,16,0,159
47296,581347,22,2515,560,0,1,1,4371,10.82040723,133.0009151,0.005033173,0.575383208,0.128117136,26424.86364,11,0,17,0,150
6012,78387,967,1414,229,0,1,1,3611,1.664912767,21.70783716,0.267792855,0.391581279,0.063417336,81.06204757,14,0,17,0,117
1207,7107,1388,258,167,1,1,1,4100,0.294390244,1.733414634,0.338536585,0.062926829,0.040731707,5.120317003,13,0,14,0,131
2409,7287,882,791,341,0,0,1,2794,0.862204724,2.608088762,0.31567645,0.283106657,0.122047244,8.261904762,15,0,15,0,117
35465,38448,10605,17008,807,1,1,1,4166,8.512962074,9.228996639,2.545607297,4.082573212,0.193710994,3.625459689,12,0,13,0,160
24694,19922,5707,29906,525,0,0,1,4404,5.607175295,4.523614896,1.295867393,6.790644868,0.119209809,3.490800771,14,0,5,0,97
8193,7948,1697,1039,151,0,1,1,4561,1.796316597,1.742600307,0.372067529,0.227800921,0.033106775,4.683559222,12,0,13,0,92
2163,7546,369,5107,30,1,1,1,2527,0.855955679,2.986149584,0.146022952,2.020973486,0.011871785,20.4498645,10,1,16,0,93
1574,5989,167,1972,32,1,1,1,3603,0.436858174,1.662225923,0.046350264,0.547321676,0.008881488,35.86227545,14,0,18,0,64
46582,14833,2570,14303,540,1,1,1,3242,14.36829118,4.575262184,0.792720543,4.41178285,0.166563849,5.771595331,12,0,20,0,146
184,7406,613,31729,220,0,1,1,3736,0.049250535,1.982334047,0.164079229,8.492773019,0.05888651,12.08156607,10,0,15,0,50
7172,3027,724,1309,244,0,1,1,4648,1.54302926,0.651247849,0.155765921,0.281626506,0.052495697,4.180939227,7,0,8,0,157
3773,13689,389,4971,78,0,0,1,3324,1.135078219,4.118231047,0.117027677,1.495487365,0.023465704,35.19023136,9,0,12,0,63
143199,49998,195,967,217,0,0,1,2487,57.57901086,20.10373945,0.07840772,0.388821874,0.087253719,256.4,15,0,13,0,23
3246,22741,1569,10789,1011,0,1,1,4661,0.696417078,4.878995924,0.336623042,2.314739326,0.216906243,14.49394519,12,0,13,0,113
593,2782,723,36360,81,0,0,1,5013,0.11829244,0.554957112,0.144225015,7.253141831,0.016157989,3.847856155,3,0,3,0,23
16804,9642,1421,16211,53,0,1,1,2288,7.344405594,4.214160839,0.621066434,7.085227273,0.023164336,6.785362421,14,0,9,0,158
23700,22098,752,2544,498,0,0,1,1939,12.22279526,11.39659618,0.387828778,1.312016503,0.256833419,29.3856383,9,0,13,0,135
13870,3902,2322,7842,88,0,0,0,3164,4.38369153,1.233249052,0.733881163,2.478508217,0.027812895,1.68044789,14,0,13,0,122
6201,54821,364,5314,1589,0,1,1,4536,1.367063492,12.08575838,0.080246914,1.171516755,0.350308642,150.6071429,13,0,18,0,96
